  | ÇORLU SPOR 1947 - HATAYSPOR | Skor: - | Hakem: (H) CANTÜRK KILIÇ | GENERAL BASRİ SARAN
  | ALİAĞA FUTBOL A.Ş. - ISBAŞ ISPARTA 32 SPOR KULÜBÜ | Skor: - | Hakem: (H) AHMET RESULOĞLU | ALİAĞA ATATÜRK STADI
  | MUŞ SPOR KULÜBÜ - MENEMEN FUTBOL KULÜBÜ | Skor: - | Hakem: (H) BERAT CAN TAŞKESEN | BATMAN ŞEHİR STADI
  | FATSA BELEDİYESPOR - AMASYASPOR FK | Skor: 1-1 | Hakem: (H) FATİH KARAKURT | FATSA İLÇE STADI
  | PAZARSPOR - İNKILAP FUTBOL SPOR KULÜBÜ | Skor: 4-1 | Hakem: (H) KEMAL SAVAŞ | PAZAR İLÇE
  | TOKAT BELEDİYE SPOR KULÜBÜ - ORDUSPOR 1967 A.Ş. | Skor: 1-1 | Hakem: (H) İBRAHİM ELMAS | TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ STADI
  | DÜZCE CAM DÜZCESPOR - BEYKOZ ANADOLU SPOR A.Ş. | Skor: - | Hakem: (H) RAMAZAN HAYMANA | DÜZCE ŞEHİR STADI
  | KÜÇÜKÇEKMECE SİNOP SPOR A.Ş. - GALATA SPOR KULÜBÜ | Skor: 1-1 | Hakem: (H) FIRAT KAÇMAZ | İBB 100.YIL STADI
  | BEYKOZ İSHAKLI SPOR FAALİYETLERİ A.Ş. - YALOVA FK 77 SPOR KULÜBÜ | Skor: 1-2 | Hakem: (H) CEM KUŞCU | TEPECİK ŞENOL GÜNEŞ STADI
  | KARTAL BULVAR KARTALİMEN SPOR A.Ş. - KDZ.EREĞLİ 1980 SPOR KULÜBÜ | Skor: 0-1 | Hakem: (H) CEM ARAYAN | BULVAR MİMAR KUBİLAY KÖSE STADI
  | GÖLCÜKSPOR - SİLİVRİSPOR | Skor: - | Hakem: (H) İSMAİL GÜZEL | GÖLCÜK ŞEHİR
  | ZONGULDAK SPOR FUTBOL KULÜBÜ A.Ş. - KARABÜK İDMANYURDU SPOR | Skor: - | Hakem: (H) DOĞU YILMAZ | KARAELMAS K.KÖKSAL
  | ESKİŞEHİR ANADOLU SPOR FAALİYETLERİ A.Ş. - BİGASPOR | Skor: 2-2 | Hakem: (H) SARP ÖZDEMİR BAŞTUĞ | OSMANGAZİ ÜNİVERSİTESİ FUTBOL SAHASI
  | SÖKE 1970 SPOR KULÜBÜ - GAZİEMİR G.O.G. SPOR YAT. A.Ş. | Skor: 2-0 | Hakem: (H) ALPEREN İNANIR | SÖKE İLÇE
  | AYVALIKGÜCÜ BELEDİYESPOR - KEPEZ SPOR FUTBOL A.Ş. | Skor: 4-1 | Hakem: (H) ERTUĞRUL YOLCU | AYVALIK HÜSNÜ UĞURAL
  | BUCASPOR 1928 - 1922 AKŞEHİR SPOR KULÜBÜ | Skor: 2-1 | Hakem: (H) MERT AYLIOĞLU | YENİ BUCA STADI
  | KARŞIYAKA - ALTAY | Skor: 1-1 | Hakem: (H) CAN CENGİZ | ALSANCAK MUSTAFA DENİZLİ STADI
  | ALANYA 1221 FUTBOL SPOR KULÜBÜ - BALIKESİRSPOR | Skor: - | Hakem: (H) AYBERG ÖZ | MİLLİ EGEMENLİK STADI
  | GEMLİK SÜMERBEY FUTBOL SPOR A.Ş. - ETİMESGUT SPOR KULÜBÜ | Skor: - | Hakem: (H) İRFAN ÇAĞRI BAŞ | GEMLİK ATATÜRK
  | UŞAK SPOR A.Ş. - ESKİŞEHİRSPOR KULÜBÜ | Skor: - | Hakem: (H) LEVENT GÜMÜŞDERE | UŞAK 1 EYLÜL
  | DENİZLİ İDMANYURDU 1959 SPOR KULÜBÜ - BURSA YILDIRIM SPOR KULÜBÜ | Skor: - | Hakem: (H) HÜSEYİN HAKAN BODUR | DENİZLİ ATATÜRK STADI
  | KARAMAN FUTBOL KULÜBÜ - BİTLİS 1916 FUTBOL SPOR KULÜBÜ | Skor: 0-3 | Hakem: (H) ERDEM DEMİRTAŞ | YENİ KARAMAN STADYUMU
  | ADANA ADALETGÜCÜ SPOR SPORTİF FAALİYETLER A.Ş. - ADANASPOR A.Ş. | Skor: 5-1 | Hakem: (H) ADEM GÜNEŞ | ALİ HOŞFİKİRER STADI
  | AÇIKALIN ERCİYES 38 FUTBOL SPOR KULÜBÜ - YENİ MERSİN İDMANYURDU FUTBOL A.Ş. | Skor: 2-1 | Hakem: (H) DEMOKRAT ÖZGÜR GÜNEŞ | KAYSERİ ATATÜRK SPOR KOMP.YAN AÇIK SAHA
  | EJDEROĞLU KIRŞEHİR FUTBOL SPOR KULÜBÜ - YENİ MALATYASPOR | Skor: - | Hakem: (H) EŞREF KURBAN | KIRŞEHİR AHİ
  | MALATYA YEŞİLYURT SPOR KULÜBÜ - KIRIKKALE FK SPOR KULÜBÜ | Skor: 3-1 | Hakem: (H) LEVENT BALCI | YENİ MALATYA STADYUMU
  | NİĞDE BELEDİYESİ SPOR - YOZGAT BELEDİYESİ BOZOK SPOR | Skor: 3-1 | Hakem: (H) SERKAN GÜRBÜZ | NİĞDE 5 ŞUBAT
  | ETİ GÜBRE MAZIDAĞI FOSFAT SPOR - DİYARBEKİR SPOR A.Ş. | Skor: - | Hakem: (H) HALİL ERDOĞAN | KIZILTEPE İLÇE
  | HALİL BAYRAM İNŞAAT KARAKÖPRÜ BELEDİYESPOR - AYOS OSMANİYESPOR FUTBOL KULÜBÜ | Skor: - | Hakem: (H) MUHAMMET KANTAROĞLU | FARUK ÇELİK STADI
  | 1964 SİLİFKE SPOR KULÜBÜ - AĞRI 1970 SPOR KULÜBÜ | Skor: - | Hakem: (H) MERT YILDIRIM | SİLİFKE ŞEHİR
  | 1923 AFYONKARAHİSAR SPOR KULÜBÜ - ÜRGÜPSPOR | Skor: - | Hakem:  | ZAFER STADI (KOCATEPE)
  | ALTAY - SÖKE 1970 SPOR KULÜBÜ | Skor: - | Hakem:  | ALSANCAK MUSTAFA DENİZLİ STADI
  | KARAMAN FUTBOL KULÜBÜ - KEPEZ SPOR FUTBOL A.Ş. | Skor: - | Hakem:  | YENİ KARAMAN STADYUMU
  | OSMANELİ SPOR KULÜBÜ - ESKİŞEHİR ANADOLU SPOR FAALİYETLERİ A.Ş. | Skor: - | Hakem:  | OSMANELİ İLÇE SAHASI
  | KIRIKKALE FK SPOR KULÜBÜ - EJDEROĞLU KIRŞEHİR FUTBOL SPOR KULÜBÜ | Skor: - | Hakem:  | BAŞPINAR STADI
  | SİNOPSPOR - ARIT KAYADİBİ SPOR KULÜBÜ | Skor: - | Hakem:  | SİNOP ŞEHİR STADI
  | TOKAT BELEDİYE SPOR KULÜBÜ - KEŞAP SPOR KULÜBÜ | Skor: - | Hakem:  | TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ STADI
  | ADANASPOR A.Ş. - YENİ MALATYASPOR | Skor: - | Hakem:  | YENİ ADANA STADYUMU
  | KİLİS BİRLİKGÜCÜ GENÇLİK SPOR - KAHTA 02 SPOR | Skor: - | Hakem:  | 7 ARALIK STADI
  | DERSİM SPOR - GELECEK SİİRT 56 SPOR KULÜBÜ | Skor: - | Hakem:  | TUNCELİ ATATÜRK
  | CİZRE BELEDİYESPOR - HAKKARİ ZAP SPOR KULÜBÜ | Skor: - | Hakem:  | SİLOPİ İLÇE
  | GÖLE SPOR - KARS 36 SPOR | Skor: - | Hakem:  | GÖLE SEMT SAHASI
  | BAYBURTSPOR - BORÇKA SPOR | Skor: - | Hakem:  | BAYBURT GENÇ OSMAN
  | GALATA SPOR KULÜBÜ - YALOVA FK 77 SPOR KULÜBÜ | Skor: - | Hakem:  | İBB BEYOĞLU STADI
  | İNKILAP FUTBOL SPOR KULÜBÜ - BEYKOZ ANADOLU SPOR A.Ş. | Skor: - | Hakem:  | ÖMERLİ STADI
  | UZUNKÖPRÜSPOR - KARTAL BULVAR KARTALİMEN SPOR A.Ş. | Skor: - | Hakem:  | ERGENE ŞEHİR STADI
  | BUCASPOR 1928 - GAZİEMİR G.O.G. SPOR YAT. A.Ş. | Skor: - | Hakem:  | YENİ BUCA STADI
  | YENİ MERSİN İDMANYURDU FUTBOL A.Ş. - BUCAK BELEDİYE OĞUZHANSPOR | Skor: - | Hakem:  | MERSİN STADYUMU
  | AMASYASPOR FK - ÇANKIRIGÜCÜ SPOR KULÜBÜ | Skor: - | Hakem:  | 12 HAZİRAN STADI
  | ORDUSPOR 1967 A.Ş. - TORUL BELEDİYE SPOR KULÜBÜ | Skor: - | Hakem:  | 19 EYLÜL STADYUMU
